---------- BOTNET FLOWS DETECTED ----------

66.154.83.80:7871 -> 190.36.202.194:16925 (UDP)
66.154.80.125:7871 -> 90.48.36.252:23526 (UDP)
189.164.117.107:19529 -> 66.154.87.39:7871 (UDP)
66.154.80.111:7871 -> 89.28.200.238:2189 (UDP)
89.13.32.196:16275 -> 66.154.83.107:7871 (UDP)
66.154.87.57:7871 -> 70.167.244.166:28201 (UDP)
66.154.83.107:7871 -> 216.249.130.220:29473 (UDP)
66.154.87.61:7871 -> 77.226.121.212:12483 (UDP)
81.223.48.75:8812 -> 66.154.87.61:7871 (UDP)
66.154.87.58:7871 -> 206.169.19.196:18880 (UDP)
189.171.182.125:19666 -> 66.154.87.39:7871 (UDP)
66.154.80.125:7871 -> 218.160.56.82:64483 (UDP)
66.154.83.80:7871 -> 24.44.161.133:6177 (UDP)
72.39.181.99:6928 -> 66.154.83.107:7871 (UDP)
66.154.87.57:7871 -> 68.20.179.96:64773 (UDP)
84.108.67.106:8845 -> 66.154.83.107:7871 (UDP)
66.154.87.57:7871 -> 65.170.189.30:37017 (UDP)
66.154.83.80:7871 -> 59.24.226.163:2276 (UDP)
66.154.87.57:7871 -> 85.180.158.58:63038 (UDP)
201.252.196.75:3473 -> 66.154.83.107:7871 (UDP)
66.154.83.107:7871 -> 190.51.152.243:16475 (UDP)
66.154.87.41:7871 -> 82.38.209.245:18169 (UDP)
66.154.80.111:7871 -> 121.112.55.193:48523 (UDP)
66.154.87.41:7871 -> 72.85.159.7:50488 (UDP)
66.154.83.138:7871 -> 89.36.236.10:14283 (UDP)
121.223.140.121:11269 -> 10.0.2.15:14851 (UDP)
74.125.39.147:80 -> 10.0.2.15:3871 (TCP)
66.154.87.41:7871 -> 87.205.87.107:11271 (UDP)
66.154.83.80:7871 -> 69.122.43.38:23955 (UDP)
66.154.87.57:7871 -> 88.243.21.18:28531 (UDP)
206.251.0.177:21363 -> 66.154.87.41:7871 (UDP)
66.154.87.57:7871 -> 196.202.39.92:29050 (UDP)
66.154.87.61:7871 -> 201.240.41.158:12370 (UDP)
66.154.83.107:7871 -> 82.232.200.6:7984 (UDP)
80.188.207.242:2363 -> 66.154.80.125:7871 (UDP)
66.154.83.153:63192 -> 216.174.161.17:8 (TCP)
189.143.144.119:14909 -> 66.154.87.61:7871 (UDP)
66.154.80.105:7871 -> 85.167.16.186:56872 (UDP)
66.154.80.101:7871 -> 63.161.232.43:23825 (UDP)
82.243.7.208:11621 -> 66.154.83.138:7871 (UDP)
83.38.32.235:26627 -> 66.154.87.61:7871 (UDP)
66.154.87.57:7871 -> 41.249.9.96:14746 (UDP)
66.154.80.111:7871 -> 74.36.250.151:30594 (UDP)
66.154.83.107:7871 -> 90.39.134.80:4063 (UDP)
66.154.83.107:7871 -> 71.221.50.248:11275 (UDP)
69.114.52.108:16578 -> 66.154.83.107:7871 (UDP)
221.146.50.141:16275 -> 66.154.83.80:7871 (UDP)
66.154.87.41:7871 -> 71.122.140.88:50008 (UDP)
66.154.83.138:7871 -> 85.214.16.247:11957 (UDP)
66.154.83.149:63298 -> 65.189.204.247:8 (TCP)
66.154.80.111:7871 -> 81.151.167.196:4110 (UDP)
66.154.83.154:63313 -> 71.224.113.40:8 (TCP)
211.30.66.55:62301 -> 66.154.87.41:7871 (UDP)
122.29.4.215:1275 -> 66.154.83.80:7871 (UDP)
66.154.83.107:7871 -> 121.45.243.253:23955 (UDP)
66.154.80.125:7871 -> 83.253.153.159:13404 (UDP)
66.154.83.107:7871 -> 216.27.89.93:10117 (UDP)
66.154.87.39:7871 -> 70.90.131.49:3437 (UDP)
66.154.80.111:7871 -> 24.31.108.96:2236 (UDP)
80.235.12.232:30163 -> 66.154.87.57:7871 (UDP)
66.154.87.39:7871 -> 62.76.7.15:7871 (UDP)
66.154.80.125:7871 -> 84.186.105.232:6274 (UDP)
66.154.87.41:7871 -> 217.91.36.215:8380 (UDP)
66.154.80.101:7871 -> 61.205.50.56:33267 (UDP)
66.154.87.41:7871 -> 74.130.32.223:29286 (UDP)
66.154.83.138:7871 -> 59.93.114.100:19031 (UDP)
211.228.40.18:16275 -> 66.154.87.57:7871 (UDP)
62.10.171.112:7779 -> 66.154.83.80:7871 (UDP)
66.154.83.138:7871 -> 203.166.229.71:17140 (UDP)
83.110.11.151:1063 -> 69.61.28.100:7871 (UDP)
66.154.83.138:7871 -> 67.149.74.94:4955 (UDP)
68.153.9.12:46876 -> 66.154.87.41:7871 (UDP)
75.33.70.250:21765 -> 10.0.2.15:14851 (UDP)
66.154.83.138:7871 -> 200.116.60.188:8120 (UDP)
66.154.80.111:7871 -> 207.63.198.2:41455 (UDP)
66.154.83.107:7871 -> 76.104.109.69:12358 (UDP)
72.161.252.115:58082 -> 66.154.83.107:7871 (UDP)
66.154.87.61:7871 -> 193.110.20.4:22973 (UDP)
200.62.117.34:15407 -> 66.154.80.125:7871 (UDP)
190.86.112.169:5410 -> 66.154.83.107:7871 (UDP)
97.66.14.105:60625 -> 66.154.87.41:7871 (UDP)
83.25.19.119:6439 -> 66.154.83.113:7871 (UDP)
220.148.151.34:3516 -> 66.154.87.39:7871 (UDP)
66.154.87.39:7871 -> 217.231.227.58:12139 (UDP)
66.154.83.113:7871 -> 88.72.47.149:3191 (UDP)
66.154.87.41:7871 -> 195.132.158.48:35286 (UDP)
66.154.87.58:7871 -> 84.104.196.26:9749 (UDP)
71.2.215.164:55083 -> 66.154.83.107:7871 (UDP)
66.154.80.101:7871 -> 59.178.40.104:18624 (UDP)
71.135.175.119:15934 -> 10.0.2.15:15931 (UDP)
66.154.80.105:7871 -> 87.194.48.8:53334 (UDP)
66.154.87.39:7871 -> 62.183.3.64:3797 (UDP)
190.54.90.208:65113 -> 66.154.87.39:7871 (UDP)
66.154.83.113:7871 -> 193.146.210.76:16728 (UDP)
66.154.87.57:7871 -> 189.163.41.113:14112 (UDP)
83.24.9.149:4860 -> 66.154.87.39:7871 (UDP)
66.154.83.145:63143 -> 65.30.81.171:8 (TCP)
66.154.83.131:63132 -> 128.211.221.47:8 (TCP)
66.154.80.111:7871 -> 222.124.71.122:6465 (UDP)
66.154.80.111:7871 -> 61.229.54.167:20096 (UDP)
70.180.210.194:21467 -> 66.154.83.113:7871 (UDP)
62.168.178.221:24504 -> 66.154.80.101:7871 (UDP)
66.154.83.80:7871 -> 189.177.101.127:30461 (UDP)
66.154.80.111:7871 -> 71.171.158.59:1234 (UDP)
69.61.28.100:7871 -> 189.136.83.158:6888 (UDP)
66.228.57.160:80 -> 10.0.2.15:1350 (TCP)
62.48.110.14:10531 -> 66.154.87.39:7871 (UDP)
87.220.90.9:21229 -> 66.154.80.101:7871 (UDP)
200.116.50.159:5989 -> 66.154.87.61:7871 (UDP)
201.230.185.165:26520 -> 66.154.80.101:7871 (UDP)
66.154.83.138:7871 -> 212.57.157.168:32884 (UDP)
24.139.248.44:33489 -> 66.154.83.124:7871 (UDP)
66.154.87.58:7871 -> 192.167.176.251:19894 (UDP)
190.42.125.177:11753 -> 66.154.80.111:7871 (UDP)
66.154.80.105:7871 -> 69.178.130.146:1274 (UDP)
66.154.80.105:7871 -> 65.80.66.87:4384 (UDP)
66.154.83.138:7871 -> 74.233.128.129:63988 (UDP)
66.154.83.80:7871 -> 24.72.254.59:11275 (UDP)
84.245.33.200:15209 -> 66.154.83.80:7871 (UDP)
91.121.9.109:11020 -> 66.154.87.58:7871 (UDP)
88.1.120.59:4065 -> 66.154.87.39:7871 (UDP)
71.83.208.137:5084 -> 66.154.83.80:7871 (UDP)
67.78.225.18:16788 -> 66.154.87.58:7871 (UDP)
66.154.83.113:7871 -> 68.106.83.86:47835 (UDP)
66.154.83.80:7871 -> 74.193.55.147:18682 (UDP)
66.154.87.41:7871 -> 71.137.137.14:60311 (UDP)
202.131.102.101:21497 -> 66.154.80.111:7871 (UDP)
83.19.41.42:18590 -> 66.154.87.41:7871 (UDP)
66.154.80.105:7871 -> 74.56.253.127:33678 (UDP)
66.214.2.22:22861 -> 66.154.83.138:7871 (UDP)
66.154.87.58:7871 -> 216.179.95.98:8475 (UDP)
66.154.83.107:7871 -> 68.22.79.58:22308 (UDP)
219.238.163.25:6000 -> 66.154.83.68:135 (TCP)
122.160.223.55:25901 -> 66.154.83.107:7871 (UDP)
66.154.80.111:7871 -> 68.109.91.222:16275 (UDP)
66.154.83.80:7871 -> 24.3.220.112:6507 (UDP)
66.154.87.58:7871 -> 69.152.216.215:5976 (UDP)
66.154.87.61:7871 -> 200.106.92.61:6705 (UDP)
66.154.83.113:7871 -> 84.191.214.46:8966 (UDP)
66.154.87.61:7871 -> 206.114.61.199:41487 (UDP)
66.154.87.39:7871 -> 201.230.219.102:25589 (UDP)
66.154.83.80:7871 -> 91.121.9.109:11020 (UDP)
83.167.116.126:8158 -> 66.154.87.41:7871 (UDP)
66.154.83.107:7871 -> 24.127.233.15:55088 (UDP)
66.154.80.111:7871 -> 81.88.112.158:64796 (UDP)
75.72.77.96:28295 -> 66.154.87.39:7871 (UDP)
66.154.80.111:7871 -> 88.244.173.114:27412 (UDP)
66.154.87.58:7871 -> 220.133.119.139:5555 (UDP)
66.154.80.105:7871 -> 75.30.238.113:11890 (UDP)
62.5.198.167:4832 -> 66.154.80.125:7871 (UDP)
190.42.31.238:22514 -> 66.154.87.61:7871 (UDP)
66.154.87.58:7871 -> 213.26.213.150:6773 (UDP)
70.134.68.157:18581 -> 66.154.87.41:7871 (UDP)
68.224.30.156:20052 -> 66.154.83.80:7871 (UDP)
66.154.80.111:7871 -> 140.122.141.232:2095 (UDP)
66.154.83.138:7871 -> 68.109.91.222:5650 (UDP)
66.154.80.111:7871 -> 190.48.210.151:23206 (UDP)
66.154.80.111:7871 -> 190.55.54.107:20099 (UDP)
217.231.150.209:32817 -> 66.154.80.101:7871 (UDP)
66.154.87.39:7871 -> 84.126.20.95:61000 (UDP)
94.68.1.154:11746 -> 10.0.2.15:15931 (UDP)
200.88.140.153:27995 -> 66.154.87.61:7871 (UDP)
83.19.189.18:13321 -> 66.154.80.101:7871 (UDP)
66.154.87.39:7871 -> 161.53.47.209:15050 (UDP)
72.209.11.60:31507 -> 66.154.83.113:7871 (UDP)
86.42.193.143:52586 -> 66.154.87.41:7871 (UDP)
66.154.80.101:7871 -> 69.182.103.138:18002 (UDP)
66.154.87.39:7871 -> 125.164.121.75:21317 (UDP)
24.8.162.88:32927 -> 66.154.87.41:7871 (UDP)
68.118.224.56:8 -> 66.154.83.140:63230 (TCP)
76.4.182.109:29140 -> 66.154.80.125:7871 (UDP)
66.154.80.105:7871 -> 193.42.213.167:14236 (UDP)
66.154.83.113:7871 -> 60.38.30.237:26339 (UDP)
66.154.83.138:7871 -> 67.188.75.42:16275 (UDP)
88.248.162.153:50195 -> 66.154.83.113:7871 (UDP)
62.90.152.223:34024 -> 66.154.80.125:7871 (UDP)
66.154.80.105:7871 -> 222.127.61.147:50879 (UDP)
66.154.80.111:7871 -> 122.163.211.73:9501 (UDP)
66.154.83.80:7871 -> 59.190.189.225:11859 (UDP)
66.154.87.41:7871 -> 190.79.154.10:12482 (UDP)
66.154.87.57:7871 -> 71.176.135.152:50983 (UDP)
66.154.80.105:7871 -> 207.144.138.57:8339 (UDP)
82.66.253.78:10127 -> 66.154.87.57:7871 (UDP)
200.71.127.70:62155 -> 66.154.83.113:7871 (UDP)
172.165.171.27:21467 -> 66.154.83.80:7871 (UDP)
66.154.87.58:7871 -> 190.48.228.43:20099 (UDP)
66.154.83.113:7871 -> 66.98.14.89:60294 (UDP)
190.43.226.20:23212 -> 66.154.83.80:7871 (UDP)
61.11.125.243:50974 -> 66.154.87.61:7871 (UDP)
82.83.178.108:44070 -> 66.154.80.125:7871 (UDP)
84.9.37.230:26417 -> 66.154.87.61:7871 (UDP)
72.224.165.157:39484 -> 66.154.83.80:7871 (UDP)
66.154.83.107:7871 -> 189.154.74.88:13065 (UDP)
66.154.80.125:7871 -> 62.21.109.10:28973 (UDP)
206.251.0.177:21922 -> 66.154.83.80:7871 (UDP)
66.154.87.61:7871 -> 81.57.150.80:9422 (UDP)
76.31.125.231:11547 -> 66.154.87.57:7871 (UDP)
66.154.87.61:7871 -> 91.35.131.125:10254 (UDP)
66.154.83.107:7871 -> 68.10.76.155:6915 (UDP)
76.90.233.30:23427 -> 66.154.87.39:7871 (UDP)
212.51.214.28:19512 -> 66.154.87.41:7871 (UDP)
66.154.83.80:7871 -> 85.106.208.114:7065 (UDP)
66.154.87.57:7871 -> 189.146.31.49:23873 (UDP)
68.106.83.86:21912 -> 66.154.87.39:7871 (UDP)
62.121.73.124:4673 -> 66.154.87.39:7871 (UDP)
211.216.238.70:35204 -> 66.154.80.101:7871 (UDP)
189.4.116.97:8884 -> 66.154.80.111:7871 (UDP)
88.207.202.219:51100 -> 66.154.83.80:7871 (UDP)
69.228.171.161:7623 -> 66.154.83.84:7871 (UDP)
66.154.80.111:7871 -> 90.176.5.70:29095 (UDP)
193.203.36.221:14100 -> 66.154.83.80:7871 (UDP)
66.154.80.125:7871 -> 83.27.172.121:7880 (UDP)
66.154.87.57:7871 -> 79.184.230.218:32202 (UDP)
201.1.34.213:20245 -> 66.154.83.113:7871 (UDP)
66.154.87.41:7871 -> 24.187.53.217:11133 (UDP)
76.180.102.73:22342 -> 66.154.80.105:7871 (UDP)
24.210.234.180:16711 -> 66.154.80.101:7871 (UDP)
66.154.87.39:7871 -> 24.98.3.23:23556 (UDP)
66.154.83.80:7871 -> 64.230.79.7:9038 (UDP)
88.217.198.23:10493 -> 66.154.83.113:7871 (UDP)
24.176.213.20:22861 -> 66.154.80.125:7871 (UDP)
66.154.87.39:7871 -> 75.28.100.58:15750 (UDP)
88.191.11.117:12196 -> 66.154.80.111:7871 (UDP)
66.154.83.113:7871 -> 59.88.26.222:8884 (UDP)
84.138.224.92:3984 -> 66.154.80.101:7871 (UDP)
190.37.162.100:16275 -> 66.154.87.58:7871 (UDP)
211.139.250.243:6000 -> 66.154.87.40:135 (TCP)
66.154.80.125:7871 -> 213.91.230.240:62758 (UDP)
66.154.80.111:7871 -> 88.243.26.10:11756 (UDP)
160.87.39.103:9501 -> 66.154.80.101:7871 (UDP)
66.154.87.61:7871 -> 79.2.50.13:9020 (UDP)
124.157.219.170:10011 -> 66.154.87.39:7871 (UDP)
64.83.56.239:19220 -> 66.154.80.111:7871 (UDP)
217.228.198.102:3569 -> 66.154.87.41:7871 (UDP)
66.154.83.107:7871 -> 84.138.98.55:19257 (UDP)
190.40.76.52:16866 -> 66.154.83.138:7871 (UDP)
66.154.87.41:7871 -> 88.207.52.73:2729 (UDP)
70.132.132.38:8 -> 66.154.83.133:63194 (TCP)
66.154.83.138:7871 -> 72.135.16.97:3681 (UDP)
66.154.83.107:7871 -> 12.188.154.50:52557 (UDP)
190.42.79.145:28460 -> 66.154.80.111:7871 (UDP)
209.85.148.99:80 -> 10.0.2.15:2177 (TCP)
66.154.87.58:7871 -> 79.75.120.113:12043 (UDP)
66.154.87.58:7871 -> 85.126.119.178:19298 (UDP)
66.154.87.57:7871 -> 87.218.120.60:12447 (UDP)
66.154.83.113:7871 -> 88.26.112.54:5629 (UDP)
66.154.87.61:7871 -> 81.155.104.153:10908 (UDP)
66.154.83.113:7871 -> 190.65.83.220:26202 (UDP)
70.232.245.74:6403 -> 66.154.83.113:7871 (UDP)
66.154.87.61:7871 -> 189.172.21.160:31778 (UDP)
66.154.80.111:7871 -> 193.238.15.25:10431 (UDP)
66.154.83.138:7871 -> 205.251.28.47:60001 (UDP)
24.255.39.231:11916 -> 66.154.83.113:7871 (UDP)
193.223.247.31:3648 -> 66.154.83.113:7871 (UDP)
190.37.162.100:16275 -> 66.154.80.111:7871 (UDP)
125.22.247.91:62914 -> 66.154.87.57:7871 (UDP)
66.154.87.58:7871 -> 212.102.4.252:2185 (UDP)
68.174.111.190:30843 -> 66.154.87.58:7871 (UDP)
123.192.53.115:3637 -> 66.154.80.101:7871 (UDP)
85.180.50.124:22660 -> 66.154.80.105:7871 (UDP)
10.0.2.15:1673 -> 173.194.65.105:80 (TCP)
66.154.83.138:7871 -> 82.231.41.90:16738 (UDP)
83.167.112.30:24737 -> 66.154.83.107:7871 (UDP)
66.154.80.125:7871 -> 218.186.136.77:14185 (UDP)
66.154.80.111:7871 -> 68.1.134.215:30461 (UDP)
86.208.174.107:9232 -> 66.154.83.113:7871 (UDP)
217.164.176.72:60512 -> 66.154.83.80:7871 (UDP)
213.120.96.185:10026 -> 66.154.83.138:7871 (UDP)
24.125.69.123:11275 -> 66.154.83.113:7871 (UDP)
65.40.173.173:15823 -> 66.154.80.111:7871 (UDP)
66.154.80.105:7871 -> 71.86.83.74:19940 (UDP)
124.104.101.112:29616 -> 66.154.80.105:7871 (UDP)
24.218.155.12:3098 -> 66.154.80.101:7871 (UDP)
10.0.2.15:2765 -> 74.125.39.99:80 (TCP)
72.215.43.2:31713 -> 66.154.87.39:7871 (UDP)
66.154.87.57:7871 -> 58.10.234.18:11491 (UDP)
66.154.80.125:7871 -> 24.195.213.117:11873 (UDP)
66.154.80.111:7871 -> 58.69.53.198:24143 (UDP)
75.127.150.114:56446 -> 66.154.87.57:7871 (UDP)
66.154.80.101:7871 -> 85.53.215.180:50332 (UDP)
83.202.116.113:19563 -> 66.154.83.107:7871 (UDP)
66.150.188.209:80 -> 10.0.2.15:1469 (TCP)
66.154.83.138:7871 -> 76.9.73.10:15486 (UDP)
213.27.246.50:8884 -> 66.154.83.113:7871 (UDP)
58.102.220.165:11381 -> 66.154.83.80:7871 (UDP)
66.154.83.135:63071 -> 72.129.129.157:8 (TCP)
66.154.80.111:7871 -> 86.105.208.43:10402 (UDP)
66.154.80.105:7871 -> 84.251.160.198:25398 (UDP)
69.61.28.74:2968 -> 69.47.254.132:4475 (TCP)
66.154.83.138:7871 -> 75.181.24.7:2768 (UDP)
66.154.80.111:7871 -> 75.144.34.169:4358 (UDP)
66.154.83.113:7871 -> 213.200.32.8:10867 (UDP)
78.106.183.235:15750 -> 66.154.83.107:7871 (UDP)
220.140.19.237:10301 -> 66.154.87.41:7871 (UDP)
75.85.191.249:5064 -> 66.154.80.111:7871 (UDP)
66.154.87.57:7871 -> 200.35.176.163:12358 (UDP)
76.237.124.182:55492 -> 66.154.83.107:7871 (UDP)
68.163.111.217:16368 -> 66.154.87.39:7871 (UDP)
66.154.80.101:7871 -> 69.156.54.210:5423 (UDP)
66.154.83.138:7871 -> 82.230.126.6:16094 (UDP)
209.173.118.95:8429 -> 66.154.87.61:7871 (UDP)
174.140.167.162:80 -> 10.0.2.15:3270 (TCP)
201.230.237.29:28444 -> 66.154.87.57:7871 (UDP)
209.161.221.245:20927 -> 66.154.80.111:7871 (UDP)
81.34.146.128:28484 -> 66.154.83.113:7871 (UDP)
189.128.108.236:11710 -> 66.154.87.41:7871 (UDP)
83.98.0.74:38432 -> 66.154.87.57:7871 (UDP)
84.77.26.95:12614 -> 66.154.80.111:7871 (UDP)
66.154.83.80:7871 -> 217.226.247.216:3232 (UDP)
66.154.80.101:7871 -> 172.207.36.145:5094 (UDP)
66.154.87.57:7871 -> 196.203.180.61:56263 (UDP)
88.116.213.218:58143 -> 66.154.80.111:7871 (UDP)
66.154.83.138:7871 -> 201.240.46.9:18663 (UDP)
66.154.80.105:7871 -> 83.177.205.54:8451 (UDP)
66.154.80.125:7871 -> 82.88.57.124:4661 (UDP)
72.226.87.1:61602 -> 66.154.80.111:7871 (UDP)
66.154.80.105:7871 -> 211.236.135.114:28437 (UDP)
65.75.101.211:42329 -> 66.154.87.57:7871 (UDP)
66.154.83.138:7871 -> 70.126.158.9:29003 (UDP)
59.95.163.238:11620 -> 66.154.80.105:7871 (UDP)
66.154.80.101:7871 -> 59.173.239.232:6570 (UDP)
65.10.44.151:58150 -> 66.154.80.105:7871 (UDP)
66.154.80.105:7871 -> 67.173.240.57:27429 (UDP)
212.96.160.106:43118 -> 66.154.83.113:7871 (UDP)
66.154.83.80:7871 -> 189.179.71.71:21467 (UDP)
66.154.80.111:7871 -> 69.210.105.91:16263 (UDP)
66.154.87.61:7871 -> 80.38.131.229:12785 (UDP)
201.143.97.100:60175 -> 66.154.87.57:7871 (UDP)
76.9.73.10:15874 -> 66.154.87.61:7871 (UDP)
200.103.28.246:29339 -> 66.154.87.41:7871 (UDP)
66.154.83.80:7871 -> 81.157.23.91:50979 (UDP)
66.154.87.41:7871 -> 68.112.52.188:17941 (UDP)
67.149.188.163:6109 -> 66.154.87.39:7871 (UDP)
66.154.87.41:7871 -> 68.228.173.31:5976 (UDP)
201.253.31.251:6854 -> 66.154.83.107:7871 (UDP)
83.11.11.199:30813 -> 66.154.87.57:7871 (UDP)
85.118.37.86:17967 -> 66.154.80.105:7871 (UDP)
89.57.168.29:5932 -> 66.154.80.101:7871 (UDP)
72.179.190.190:22128 -> 66.154.80.125:7871 (UDP)
216.51.227.104:55361 -> 66.154.87.57:7871 (UDP)
66.154.87.57:7871 -> 76.100.174.247:32078 (UDP)
66.154.87.41:7871 -> 24.154.156.156:8815 (UDP)
87.15.43.213:20592 -> 66.154.80.125:7871 (UDP)
71.61.65.19:29020 -> 66.154.87.58:7871 (UDP)
220.133.152.220:18340 -> 66.154.80.111:7871 (UDP)
66.154.83.107:7871 -> 85.179.83.101:10768 (UDP)
66.154.87.57:7871 -> 208.120.44.73:32181 (UDP)
66.154.87.57:7871 -> 82.201.241.20:57673 (UDP)
66.154.83.138:7871 -> 189.141.67.39:9501 (UDP)
66.154.80.125:7871 -> 213.186.56.99:6836 (UDP)
84.120.169.219:20699 -> 66.154.83.107:7871 (UDP)
66.154.80.101:7871 -> 213.101.213.53:18161 (UDP)
66.154.87.41:7871 -> 67.68.5.183:60730 (UDP)
66.154.83.113:7871 -> 65.78.113.37:61260 (UDP)
66.154.80.101:7871 -> 60.48.197.254:24122 (UDP)
66.154.87.39:7871 -> 90.55.39.4:29303 (UDP)
88.232.245.250:22128 -> 66.154.87.57:7871 (UDP)
66.154.87.41:7871 -> 125.178.144.183:23873 (UDP)
82.224.154.135:3266 -> 66.154.83.113:7871 (UDP)
88.232.195.116:5084 -> 66.154.83.80:7871 (UDP)
66.154.83.80:7871 -> 64.252.192.39:60055 (UDP)
66.154.83.113:7871 -> 212.118.4.4:26644 (UDP)
66.154.83.80:7871 -> 124.104.216.227:4106 (UDP)
85.177.158.140:12272 -> 66.154.87.39:7871 (UDP)
66.154.80.108:2968 -> 66.87.120.246:2189 (TCP)
61.205.50.56:33267 -> 66.154.83.80:7871 (UDP)
192.168.1.100:3392 -> 66.154.80.105:7871 (UDP)
66.154.80.111:7871 -> 216.31.252.210:41819 (UDP)
66.154.87.39:7871 -> 81.129.72.15:56094 (UDP)
66.154.83.107:7871 -> 82.84.186.137:4535 (UDP)
66.154.80.101:7871 -> 82.66.250.7:9946 (UDP)
66.154.87.41:7871 -> 212.176.250.2:26824 (UDP)
66.154.83.138:7871 -> 148.244.192.212:15270 (UDP)
66.154.83.107:7871 -> 201.250.107.135:23238 (UDP)
86.96.15.37:9154 -> 66.154.87.57:7871 (UDP)
66.154.80.111:7871 -> 74.223.66.178:24538 (UDP)
66.154.80.105:7871 -> 189.25.134.119:61823 (UDP)
220.142.173.167:13108 -> 66.154.87.39:7871 (UDP)
68.14.113.114:7777 -> 66.154.80.111:7871 (UDP)
81.190.121.116:10251 -> 66.154.83.138:7871 (UDP)
66.154.87.61:7871 -> 69.70.129.225:8429 (UDP)
66.154.87.41:7871 -> 84.220.108.88:4663 (UDP)
71.239.222.123:5664 -> 66.154.87.39:7871 (UDP)
217.165.124.131:60856 -> 66.154.80.101:7871 (UDP)
84.171.77.170:9956 -> 66.154.83.138:7871 (UDP)
65.27.36.170:27875 -> 66.154.83.113:7871 (UDP)
66.154.80.111:7871 -> 70.140.219.238:16651 (UDP)
83.19.209.2:3907 -> 66.154.80.101:7871 (UDP)
211.214.36.48:65185 -> 66.154.80.125:7871 (UDP)
66.154.80.101:7871 -> 66.0.140.114:57779 (UDP)
66.154.80.125:7871 -> 83.235.176.143:22312 (UDP)
66.154.87.41:7871 -> 82.154.156.192:33828 (UDP)
66.154.83.107:7871 -> 190.30.44.83:5480 (UDP)
70.137.10.231:18023 -> 66.154.80.105:7871 (UDP)
66.154.80.101:7871 -> 78.174.222.69:25534 (UDP)
193.231.92.46:6302 -> 66.154.87.58:7871 (UDP)
69.115.111.173:10285 -> 66.154.80.101:7871 (UDP)
66.154.80.105:7871 -> 76.122.196.80:30141 (UDP)
66.154.83.154:63071 -> 69.113.3.220:8 (TCP)
66.154.83.107:7871 -> 85.228.173.39:1108 (UDP)
194.9.67.130:11810 -> 66.154.87.57:7871 (UDP)
66.154.87.41:7871 -> 86.197.223.228:1161 (UDP)
66.154.87.41:7871 -> 67.149.188.163:6109 (UDP)
66.154.87.58:7871 -> 123.252.158.51:30049 (UDP)
66.154.87.57:7871 -> 83.110.207.39:8498 (UDP)
66.154.87.57:7871 -> 77.56.180.52:15360 (UDP)
123.142.214.66:3995 -> 69.61.28.74:135 (TCP)
66.154.80.111:7871 -> 68.162.22.56:50735 (UDP)
68.110.80.140:8 -> 69.61.28.72:64131 (TCP)
60.254.21.23:4848 -> 66.154.87.39:7871 (UDP)
85.55.2.167:51094 -> 66.154.80.105:7871 (UDP)
192.168.1.3:4154 -> 66.154.80.105:7871 (UDP)
84.52.35.57:1208 -> 66.154.80.111:7871 (UDP)
190.84.47.160:14288 -> 66.154.87.61:7871 (UDP)
66.154.83.80:7871 -> 125.164.97.173:10003 (UDP)
24.2.182.208:32923 -> 66.154.83.107:7871 (UDP)
190.8.159.59:49675 -> 66.154.87.57:7871 (UDP)
66.154.87.57:7871 -> 86.69.159.184:4760 (UDP)
66.154.87.61:7871 -> 209.91.17.224:1511 (UDP)
66.154.80.105:7871 -> 99.164.55.77:61632 (UDP)
66.154.87.58:7871 -> 24.74.11.41:27961 (UDP)
10.0.2.15:15931 -> 24.184.202.245:10391 (UDP)
200.121.34.160:26285 -> 66.154.80.105:7871 (UDP)
66.154.87.61:7871 -> 70.152.207.221:50002 (UDP)
66.154.83.138:7871 -> 86.29.139.254:10301 (UDP)
66.154.80.111:7871 -> 80.219.133.25:12621 (UDP)
69.61.28.98:7212 -> 219.240.44.147:6000 (TCP)
88.232.121.115:21106 -> 66.154.83.80:7871 (UDP)
66.154.87.58:7871 -> 58.74.248.121:21510 (UDP)
10.0.2.15:2653 -> 74.125.39.105:80 (TCP)
66.154.87.58:7871 -> 82.236.75.171:6510 (UDP)
66.154.83.107:7871 -> 216.240.159.199:6156 (UDP)
201.233.209.80:4076 -> 66.154.87.39:7871 (UDP)
193.232.88.67:12840 -> 66.154.87.39:7871 (UDP)
69.125.21.237:32760 -> 66.154.80.111:7871 (UDP)
218.39.163.25:19949 -> 66.154.87.41:7871 (UDP)
69.30.141.60:60376 -> 66.154.83.107:7871 (UDP)
66.20.92.253:50575 -> 66.154.87.58:7871 (UDP)
88.227.47.54:26252 -> 66.154.83.113:7871 (UDP)
58.10.234.18:17600 -> 66.154.87.39:7871 (UDP)
81.151.185.84:3692 -> 66.154.83.80:7871 (UDP)
67.99.36.177:53993 -> 66.154.80.111:7871 (UDP)
85.58.16.155:4143 -> 66.154.87.41:7871 (UDP)
84.151.76.185:1234 -> 66.154.80.101:7871 (UDP)
66.154.83.80:7871 -> 66.72.192.5:18002 (UDP)
200.121.189.232:15684 -> 66.154.83.107:7871 (UDP)
66.154.83.80:7871 -> 68.39.204.45:21497 (UDP)
66.154.83.107:7871 -> 69.249.84.90:55356 (UDP)
66.154.83.138:7871 -> 210.56.25.194:19284 (UDP)
66.154.83.107:7871 -> 89.178.149.221:25181 (UDP)
83.243.109.176:16643 -> 66.154.83.107:7871 (UDP)
